omega_p,epsilon_results_second_model
2.131313131313131e+16,(-29.90184135324038+13.53984130558887j)
2.1515151515151516e+16,(-30.798206677088622+13.921211296303492j)
2.171717171717172e+16,(-31.709956797071378+14.312509767346256j)
2.191919191919192e+16,(-32.637352001710376+14.714036906050216j)
2.212121212121212e+16,(-33.58065846637363+15.126104131339627j)
2.2323232323232324e+16,(-34.54014836292848+15.549034575766543j)
2.252525252525253e+16,(-35.516099968775+15.983163591069854j)
2.272727272727273e+16,(-36.50879777489305+16.42883927851748j)
2.292929292929293e+16,(-37.51853259249321+16.88642304536512j)
2.3131313131313132e+16,(-38.54560165781363+17.356290188841438j)
2.3333333333333336e+16,(-39.590308734552316+17.83883050915097j)
2.3535353535353536e+16,(-40.65296421336674+18.33444895307224j)
2.3737373737373736e+16,(-41.73388520780823+18.843566289819456j)
2.393939393939394e+16,(-42.83339564598856+19.366619820932787j)
2.4141414141414144e+16,(-43.95182635719856+19.90406412606424j)
2.4343434343434344e+16,(-45.089515152613814+20.456371846634344j)
2.4545454545454544e+16,(-46.24680689912818+21.024034509448978j)
2.4747474747474748e+16,(-47.424053585252544+21.607563392486387j)
2.494949494949495e+16,(-48.62161437790326+22.207490435192554j)
2.515151515151515e+16,(-49.83985566877883+22.824369195757413j)
2.535353535353535e+16,(-51.0791511088862+23.458775857987376j)
2.5555555555555556e+16,(-52.33988162962604+24.11131029053939j)
2.575757575757576e+16,(-53.622435448680044+24.782597161440577j)
2.595959595959596e+16,(-54.927208058759184+25.473287110984373j)
2.616161616161616e+16,(-56.25460219707013+26.18405798626961j)
2.6363636363636364e+16,(-57.60502779313383+26.91561614083391j)
2.656565656565657e+16,(-58.97890189234596+27.668697803026895j)
2.676767676767677e+16,(-60.37664855239878+28.444070516972143j)
2.696969696969697e+16,(-61.79869870938738+29.24253466018046j)
2.7171717171717172e+16,(-63.24549001009508+30.064925042099276j)
2.7373737373737376e+16,(-64.7174666065944+30.912112588116678j)
2.7575757575757576e+16,(-66.21507890890187+31.78500611378049j)
2.7777777777777776e+16,(-67.73878329098956+32.68455419424482j)
2.797979797979798e+16,(-69.28904174497363+33.6117471342175j)
2.8181818181818184e+16,(-70.86632147777173+34.56761904395113j)
2.8383838383838384e+16,(-72.47109444393764+35.553250027098464j)
2.8585858585858588e+16,(-74.1038368077376+36.56976848653604j)
2.8787878787878788e+16,(-75.7650283268256+37.61835355454933j)
2.898989898989899e+16,(-77.4551516490963+38.70023765406714j)
2.919191919191919e+16,(-79.17469151343231+39.816709197925206j)
2.9393939393939396e+16,(-80.92413384412042+40.96911543343467j)
2.9595959595959596e+16,(-82.70396472766622+42.158865439818115j)
2.97979797979798e+16,(-84.51466925959149+43.38743328635718j)
3e+16,(-86.3567302475335+44.65636135936168j)
